"Report.Number","Occurred.Date","Occurred.Time","Reported.Date","Reported.Time","Crime.Subcategory","Primary.Offense.Description","Precinct","Sector","Neighborhood"
201800001133,2018-01-01,2351,2018-01-02,4,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","SOUTH","O","GEORGETOWN"
201800001115,2018-01-01,2333,2018-01-01,2333,"TRESPASS","TRESPASS","NORTH","L","LAKECITY"
201800001109,2018-01-01,2329,2018-01-01,2329,"CAR PROWL","THEFT-CARPROWL","SOUTHWEST","F","PIGEON POINT"
201800001136,2018-01-01,2250,2018-01-02,12,"THEFT-BUILDING","THEFT-BUILDING","EAST","E","CAPITOL HILL"
201800001063,2018-01-01,2207,2018-01-01,2207,"DUI","DUI-LIQUOR","SOUTH","S","NEW HOLLY"
201800001248,2018-01-01,2200,2018-01-02,754,"AGGRAVATED ASSAULT","ASSLT-AGG-BODYFORCE","WEST","K","DOWNTOWN COMMERCIAL"
201800001862,2018-01-01,2200,2018-01-02,1529,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","WEST","D","QUEEN ANNE"
20180000900033,2018-01-01,2200,2018-01-02,1203,"THEFT-ALL OTHER","THEFT-OTH","SOUTH","O","GEORGETOWN"
201800001849,2018-01-01,2100,2018-01-02,1517,"CAR PROWL","THEFT-LICENSE PLATE","SOUTH","S","SOUTH BEACON HILL"
201800001147,2018-01-01,2100,2018-01-02,24,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","SOUTH","O","GEORGETOWN"
201800001006,2018-01-01,2051,2018-01-01,2051,"AGGRAVATED ASSAULT-DV","ASSLT-AGG-DV-WEAPON","EAST","G","MADRONA/LESCHI"
20180000991,2018-01-01,2028,2018-01-01,2028,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","M","DOWNTOWN COMMERCIAL"
20180000900053,2018-01-01,2020,2018-01-02,1738,"CAR PROWL","THEFT-CARPROWL","SOUTH","R","MOUNT BAKER"
20180000900049,2018-01-01,2000,2018-01-02,1823,"THEFT-ALL OTHER","THEFT-OTH","WEST","M","BELLTOWN"
201800001058,2018-01-01,1934,2018-01-01,2156,"AGGRAVATED ASSAULT-DV","ASSLT-AGG-DV-WEAPON","NORTH","L","LAKECITY"
20180000900018,2018-01-01,1930,2018-01-01,2319,"CAR PROWL","THEFT-CARPROWL","NORTH","B","BALLARD SOUTH"
2018000076526,2018-01-01,1923,2018-03-02,1923,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","NORTH","J","BALLARD NORTH"
201800005798,2018-01-01,1900,2018-01-05,1506,"RAPE","RAPE-STRONGARM","NORTH","U","UNIVERSITY"
20180000916,2018-01-01,1856,2018-01-01,1856,"THEFT-BICYCLE","THEFT-BICYCLE","SOUTH","O","SODO"
20180000900022,2018-01-01,1840,2018-01-02,849,"THEFT-ALL OTHER","THEFT-OTH","WEST","Q","SLU/CASCADE"
20180000885,2018-01-01,1818,2018-01-01,1856,"TRESPASS","TRESPASS","EAST","E","CAPITOL HILL"
201800007912,2018-01-01,1800,2018-01-07,1113,"CAR PROWL","THEFT-LICENSE PLATE","EAST","G","JUDKINS PARK/NORTH BEACON HILL"
201800001286,2018-01-01,1800,2018-01-02,720,"CAR PROWL","THEFT-CARPROWL","WEST","D","EASTLAKE - WEST"
20180000900172,2018-01-01,1800,2018-01-05,1725,"THEFT-BICYCLE","THEFT-BICYCLE","WEST","Q","QUEEN ANNE"
20180000902558,2018-01-01,1745,2018-03-21,1956,"THEFT-ALL OTHER","THEFT-MAIL","SOUTH","R","MID BEACON HILL"
201800003237,2018-01-01,1740,2018-01-03,1740,"CAR PROWL","THEFT-CARPROWL","SOUTHWEST","F","SOUTH DELRIDGE"
20180000846,2018-01-01,1727,2018-01-01,1727,"THEFT-BUILDING","THEFT-BUILDING","WEST","M","DOWNTOWN COMMERCIAL"
20180000840,2018-01-01,1715,2018-01-01,1720,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","M","DOWNTOWN COMMERCIAL"
20180000823,2018-01-01,1648,2018-01-01,1648,"THEFT-ALL OTHER","THEFT-OTH","SOUTH","R","CLAREMONT/RAINIER VISTA"
20180000821,2018-01-01,1645,2018-01-01,1645,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","K","CHINATOWN/INTERNATIONAL DISTRICT"
